index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude,original_components,enriched_components,component_gain,original_length,enriched_length,length_gain
923,"Orchard Ct, Bathurst, 2795","Orchard Ct, Bathurst NSW 2795",Hawkins Walk Mitchell New South Wales 2795,Hawkins Walk,Mitchell,New South Wales,2795.0,,Exploren,-33.42979584,149.560006,4,7,3,26,42,16
862,"Grandview Lane, Bowen Mountain, 2753","Grandview Lane, Bowen Mountain NSW 2753",Grandview Lane Bowen Mountain New South Wales 2753,Grandview Lane,Bowen Mountain,New South Wales,2753.0,,Porsche Destination Charging,-33.58239244,150.6335656,5,8,3,36,50,14
866,"Harbour Boulevard, Shell Cove, 2529","Harbour Boulevard, Shell Cove NSW 2529",Marina Drive Shell Cove New South Wales 2529,Marina Drive,Shell Cove,New South Wales,2529.0,,Chargefox,-34.58859964,150.8661131,5,8,3,35,44,9
863,"Grenache Way, Murrumbateman, 2582","Grenache Way, Murrumbateman NSW 2582",Isabel Drive Murrumbateman New South Wales 2582,Isabel Drive,Murrumbateman,New South Wales,2582.0,,Porsche Smart Mobility,-34.97787592,149.0084344,4,7,3,33,47,14
870,"Havenview Rd, Central Coast, 2260","Havenview Road, Central Coast NSW 2260",176 Terrigal Drive Terrigal New South Wales 2260,176 Terrigal Drive,Terrigal,New South Wales,2260.0,,EVUp,-33.44133738,151.4392553,5,8,3,33,48,15
869,"Hastings St, Wauchope, 2446","Hastings Street, Wauchope NSW 2446",Hastings Street Wauchope New South Wales 2446,Hastings Street,Wauchope,New South Wales,2446.0,,NRMA,-31.4561542,152.7327227,4,7,3,27,45,18
893,"Lauder St, Tumbarumba, 2653","Lauder Street, Tumbarumba NSW 2653",Lauder Street Tumbarumba New South Wales 2653,Lauder Street,Tumbarumba,New South Wales,2653.0,,Chargefox,-35.7735596,148.0094114,4,7,3,27,45,18
911,"Mowamba Pl, Thredbo, 2625","Mowamba Place, Thredbo NSW 2625",17 Friday Drive New South Wales 2625,17 Friday Drive,,New South Wales,2625.0,,Tesla,-36.50483088,148.3046977,4,7,3,25,36,11
912,"Muir St, Medowie, 2318","Muir Street, Medowie NSW 2318",Muir Street Medowie New South Wales 2318,Muir Street,Medowie,New South Wales,2318.0,,Chargefox,-32.73893898,151.8673493,4,7,3,22,40,18
889,"Kowara Cres, Merimbula, 2548","Kowara Crescent, Merimbula NSW 2548",Kowara Crescent Merimbula New South Wales 2548,Kowara Crescent,Merimbula,New South Wales,2548.0,,EVUp,-36.88414419,149.9032943,4,7,3,28,46,18
885,"King St, Newcastle, 2300","King Street, Newcastle NSW 2300",King Street Newcastle New South Wales 2300,King Street,Newcastle,New South Wales,2300.0,,Porsche Smart Mobility,-32.92746051,151.7790551,4,7,3,24,42,18
888,"Koonya Cct, Sydney, 2229","Koonya Circuit, Sydney NSW 2229",Koonya Circuit Caringbah New South Wales 2229,Koonya Circuit,Caringbah,New South Wales,2229.0,,Exploren,-34.0278569,151.1217848,4,7,3,24,45,21
915,"Napier St, Sydney, 2021","Napier Street, Sydney NSW 2021",Napier Street Paddington New South Wales 2021,Napier Street,Paddington,New South Wales,2021.0,,EVX,-33.88338043,151.220003,4,7,3,23,45,22
919,"Nowra Rd, Moss Vale, 2577","Nowra Road, Moss Vale NSW 2577",Nowra Road Moss Vale New South Wales 2577,Nowra Road,Moss Vale,New South Wales,2577.0,,Porsche Smart Mobility,-34.59692397,150.4412503,5,8,3,25,41,16
881,"Joadja Rd, Sydney, 2170","Joadja Road, Sydney NSW 2170",Dampier Place Prestons New South Wales 2170,Dampier Place,Prestons,New South Wales,2170.0,,NRMA,-33.9302513,150.8756286,4,7,3,23,43,20
884,"Kiewa St, Albury, 2640","Kiewa Street, Albury NSW 2640",Kiewa Street Albury New South Wales 2640,Kiewa Street,Albury,New South Wales,2640.0,,NRMA,-36.08379184,146.9148338,4,7,3,22,40,18
