index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude
864,"Griffith St, Tweed Heads, 2485","Griffith Street, Tweed Heads NSW 2485",Stuart Street Coolangatta Queensland 4225,Stuart Street,Coolangatta,Queensland,4225,,Chargefox,-28.16872577,153.5430551
865,"Halls Rd, Pokolbin, 2320","Halls Road, Pokolbin NSW 2320",Halls Road Cessnock New South Wales,Halls Road,Cessnock,New South Wales,,,Porsche Smart Mobility,-32.77742747,151.3148879
866,"Harbour Boulevard, Shell Cove, 2529","Harbour Boulevard, Shell Cove NSW 2529",Marina Drive Shell Cove New South Wales 2529,Marina Drive,Shell Cove,New South Wales,2529,,Chargefox,-34.58859964,150.8661131
867,"Hassall St, Sydney, 2142","Hassall Street, Sydney NSW 2142",113 Hassall Street Rosehill New South Wales 2142,113 Hassall Street,Rosehill,New South Wales,2142,,BP,-33.81961366,151.0213463
868,"Hassall Street & James Rouse Drive, Sydney, 2142","Hassall Street & James Rouse Drive, Sydney NSW 2142",113 Hassall Street Rosehill New South Wales 2142,113 Hassall Street,Rosehill,New South Wales,2142,,BP,-33.81968873,151.0213023
869,"Hastings St, Wauchope, 2446","Hastings Street, Wauchope NSW 2446",Hastings Street Wauchope New South Wales 2446,Hastings Street,Wauchope,New South Wales,2446,,NRMA,-31.4561542,152.7327227
870,"Havenview Rd, Central Coast, 2260","Havenview Road, Central Coast NSW 2260",176 Terrigal Drive Terrigal New South Wales 2260,176 Terrigal Drive,Terrigal,New South Wales,2260,,EVUp,-33.44133738,151.4392553
871,"Headland Ave, Austinmer, 2515","Headland Avenue, Austinmer NSW 2515",Headland Avenue Austinmer New South Wales 2515,Headland Avenue,Austinmer,New South Wales,2515,,EVX,-34.30089594,150.9396096
872,"Henderson Rd, Sydney, 2174","Henderson Road, Sydney NSW 2174",Sergeant Street Edmondson Park New South Wales 2174,Sergeant Street,Edmondson Park,New South Wales,2174,,Chargefox,-33.9694585,150.8563874
873,"Herbert St, Tooleybuc, 2736","Herbert Street, Tooleybuc NSW 2736",Lockhart Road New South Wales 2736,Lockhart Road,,New South Wales,2736,,Non-networked,-35.02423528,143.3367067
874,"Hermitage Rd, Pokolbin, 2320","Hermitage Road, Pokolbin NSW 2320",Hermitage Road Cessnock New South Wales 2320,Hermitage Road,Cessnock,New South Wales,2320,,Tesla,-32.7277508,151.2606126
875,"Hermitage Road, Pokolbin, 2320","Hermitage Road, Pokolbin NSW 2320",Hermitage Road Cessnock New South Wales,Hermitage Road,Cessnock,New South Wales,,,Porsche Smart Mobility,-32.73467072,151.2624855
876,"Holborn Ct, Sydney, 2557","Holborn Ct, Sydney NSW 2557",Holborn Circuit Gledswood Hills New South Wales 2557,Holborn Circuit,Gledswood Hills,New South Wales,2557,,Exploren,-34.02030235,150.7634565
877,"Horderns Rd, Bowral, 2576","Horderns Road, Bowral NSW 2576",Bowral New South Wales,,Bowral,New South Wales,,,Porsche Smart Mobility,-34.49890695,150.4816156
878,"Innovation Way, Wollongong, 2500","Innovation Way, Wollongong NSW 2500",Squires Way North Wollongong New South Wales 2500,Squires Way,North Wollongong,New South Wales,2500,,Chargefox,-34.40008513,150.8996306
879,"Jean Wailes Ave, Sydney, 2138","Jean Wailes Avenue, Sydney NSW 2138",1 Rider Boulevard Rhodes New South Wales 2138,1 Rider Boulevard,Rhodes,New South Wales,2138,,Chargefox,-33.83529434,151.0844314
880,"Jersey St, Sydney, 2077","Jersey Street, Sydney NSW 2077",462 Peats Ferry Road Asquith New South Wales 2077,462 Peats Ferry Road,Asquith,New South Wales,2077,,BP,-33.68997402,151.1061692
881,"Joadja Rd, Sydney, 2170","Joadja Road, Sydney NSW 2170",Dampier Place Prestons New South Wales 2170,Dampier Place,Prestons,New South Wales,2170,,NRMA,-33.9302513,150.8756286
882,"John Renshaw Dr, Beresfield, 2322","John Renshaw Drive, Beresfield NSW 2322",Kinta Drive Beresfield New South Wales 2322,Kinta Drive,Beresfield,New South Wales,2322,,BP,-32.81193998,151.6394685
883,"Kable Ave, Tamworth, 2340","Kable Avenue, Tamworth NSW 2340",4 Kable Avenue Tamworth New South Wales 2340,4 Kable Avenue,Tamworth,New South Wales,2340,,NRMA,-31.0903554,150.9274134
884,"Kiewa St, Albury, 2640","Kiewa Street, Albury NSW 2640",Kiewa Street Albury New South Wales 2640,Kiewa Street,Albury,New South Wales,2640,,NRMA,-36.08379184,146.9148338
885,"King St, Newcastle, 2300","King Street, Newcastle NSW 2300",King Street Newcastle New South Wales 2300,King Street,Newcastle,New South Wales,2300,,Porsche Smart Mobility,-32.92746051,151.7790551
886,"Kintore Headframe Car Park, 51 Bromide St, Broken Hill, NSW 2880, Australia","Kintore Headframe Car Park, 51 Bromide Street, Broken Hill NSW 2880",14 Ross Street Wilcannia New South Wales 2836,14 Ross Street,Wilcannia,New South Wales,2836,,NRMA,-31.557857,143.3855021
887,"Kokera St, Newcastle, 2287","Kokera Street, Newcastle NSW 2287",24 Kokera Street Wallsend New South Wales 2287,24 Kokera Street,Wallsend,New South Wales,2287,,Tesla,-32.90262967,151.6676206
888,"Koonya Cct, Sydney, 2229","Koonya Circuit, Sydney NSW 2229",Koonya Circuit Caringbah New South Wales 2229,Koonya Circuit,Caringbah,New South Wales,2229,,Exploren,-34.0278569,151.1217848
