OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_NAME26,SA4_CODE26,augmentation_match_status,augmentation_match_method,augmentation_match_confidence,augmentation_manual_review,augmentation_reference_row,augmentation_match_distance_m,augmentation_nearest_distance_m,augmentation_nearest_gap_m,external_source,external_data_provider,external_station_id,external_station_name,external_station_address,external_operator,external_plug_types,external_connector_types_normalized,external_number_of_plugs,external_numeric_conflict_flags,external_number_of_plugs_quality,external_number_of_plugs_semantics,external_charger_capacity,external_power_kw_values,external_power_kw_min,external_power_kw_max,external_status,external_operational_status,external_usage_cost,external_last_verified,external_comments,external_opening_hours,external_latitude,external_longitude,external_attributes_json,augmentation_review_reason
,,"101 Grafton Street, Sydney NSW 2022",Tesla,4,AC,22 kW,-33.89091996,151.2508218,Waverley Council,2022,Existing Destination Chargers,Sydney - Eastern Suburbs,118,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"102 Volt Lane, Albury NSW 2640",Exploren,4,AC,22 kW,-36.08176781,146.9163193,Albury City Council,2640,Existing Destination Chargers,Murray,109,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"103 Sandy Flat Road, Sandy Flat NSW 2372",Tesla,2,AC,22 kW,-29.23413718,152.0222883,Tenterfield Shire Council,2372,Existing Destination Chargers,New England and North West,110,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1034 The Escort Way, Borenore NSW 2800",Tesla,2,AC,22 kW,-33.25922627,149.00404,Cabonne Council,2800,Existing Destination Chargers,Central West,103,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"105 Station Road, Sydney NSW 2147",Ampol,2,DC,150 kW,-33.77436041,150.9448809,Blacktown City Council,2147,Existing Fast Chargers,Sydney - Blacktown,116,accepted,OSM:coordinate_500m,1.0,False,68.0,4.943991220314163,4.943991220314163,,OSM,OpenStreetMap,OSM:13036266779,,,AmpCharge,CCS|CHAdeMO,CCS; CHAdeMO,,,missing_or_suspicious,OSM charge_points_count; values above 100 are withheld as suspicious,,,,,,unknown,,,,,-33.7743896273942,150.944921219469,"{""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -33.7743896273942, ""OSM::longitude"": 150.944921219469, ""OSM::number_of_plugs_quality"": ""missing_or_suspicious"", ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""AmpCharge"", ""OSM::osm_last_updated"": ""2025-07-29"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",
,,"106 Parraween Street, Sydney NSW 2090",Evie Networks,4,DC,75 kW,-33.8273504,151.2303373,North Sydney Council,2090,Existing Fast Chargers,Sydney - North Sydney and Hornsby,121,unmatched,,0.0,False,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},
,,"1067 Oxley Highway, Thrumster NSW 2444",Chargefox,4,DC,180 kW,-31.46394199,152.8219499,Port Macquarie-Hastings Council,2444,Existing Fast Chargers,Mid North Coast,108,accepted,OCM:coordinate_and_fuzzy_address;OSM:coordinate_500m,0.5,True,70.0,26.234477594779104,26.234477594779104,,OCM;OSM,Open Charge Map; OpenStreetMap,OCM:172921;OSM:8390250930,Port Macquarie Service Centre [Chargefox],"OCM:1063 Oxley Highway, Thrumster, NSW, 2444",Chargefox; NRMA,CCS (Type 2); CHAdeMO; CCS|CHAdeMO,CCS; CHAdeMO,,number_of_plugs,reported_or_derived_from_connection_quantity; valid,OCM NumberOfPoints or positive connection Quantity; OSM charge_points_count; values above 100 are withheld as suspicious,350 kW; 100 kW,100.0; 350.0,100.0,350.0,Operational,operational,"$0.60/kWh, 20% discount for NRMA members",2026-09-01T11:39:00Z,,,-31.463751231214047,152.82172752510883,"{""OCM::charger_capacities"": ""350 kW; 100 kW"", ""OCM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2026-09-01T11:39:00Z"", ""OCM::latitude"": -31.463751231214047, ""OCM::longitude"": 152.82172752510883, ""OCM::number_of_plugs"": 2.0, ""OCM::number_of_plugs_quality"": ""reported_or_derived_from_connection_quantity"", ""OCM::number_of_plugs_semantics"": ""OCM NumberOfPoints or positive connection Quantity"", ""OCM::operational_status"": ""operational"", ""OCM::operator"": ""Chargefox"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO"", ""OCM::power_kw_max"": 350.0, ""OCM::power_kw_min"": 100.0, ""OCM::power_kw_values"": [100.0, 350.0], ""OCM::station_address"": ""1063 Oxley Highway, Thrumster, NSW, 2444"", ""OCM::station_name"": ""Port Macquarie Service Centre [Chargefox]"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""$0.60/kWh, 20% discount for NRMA members"", ""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -31.4637923728864, ""OSM::longitude"": 152.822163770165, ""OSM::number_of_plugs"": 4, ""OSM::number_of_plugs_quality"": ""valid"", ""OSM::number_of_plugs_raw"": 4, ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""NRMA"", ""OSM::osm_last_updated"": ""2026-06-11"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",accepted sources disagree on number_of_plugs
,,"1068 Pittwater Road, Sydney NSW 2097",JOLT,2,DC,25 kW,-33.73111016,151.301011,Northern Beaches Council,2097,Existing Fast Chargers,Sydney - Northern Beaches,122,unmatched,,0.0,False,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},
,,"107 John Street, Singleton NSW 2330",Exploren,1,AC,22 kW,-32.56552757,151.1671401,Singleton Council,2330,Existing Destination Chargers,Hunter Valley exc Newcastle,106,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"108 Ingleburn Road, Leppington NSW 2179",Chargefox,6,AC,6 kW,-33.96187992,150.8062342,Camden Council,2179,Existing Destination Chargers,Sydney - South West,127,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"109 Beecroft Road, Sydney NSW 2119",JOLT,2,DC,25 kW,-33.75051656,151.0650831,"Hornsby, The Council of the Shire of",2119,Existing Fast Chargers,Sydney - Ryde,126,unmatched,,0.0,False,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},
